Channel,Treatment,Tetragnatha montana,Tetragnatha extensa,Pachygnatha clerki,Heliophanus cupreus,Heliophanus flavipes,Xysticus cristatus,Xysticus sabulosus,Episinus angulatus,Enoplognatha ovata,Theridion blackwalli,Theridion varians,Drassodes cupreus,Gnaphossidae,Clubiona diversa,Hahnia montana,Helophora insignis,Panamomops sulcifrons,Erigone vagans,Erigone longipalpis,Lepthyphantes alacris,Metopobactrus prominulus,Porrhomma pygmaeum,Hylyphantes graminicola,Hypomma bituberculatum,Linyphiidae,Stemonyphates lineatus,Gnathonarium dentatum,Araneus diadematus,Larinoides cornutus,Araenidae,Opiliones,Acari,Phaedon cochleariae,Altica palustris/lythri,Alticini,Chrysomelidae larvae,Galerucella sagittariae,Chrysomelid 2,Prasocuris junci,Phalacridae,Olibrus affinis,Stenus picipennis,Stenus similus,Stenus solutus,Stenus cicindeloides,Stenus nitidiusculus,Stenus pallitarsus,Lathrobium fulvipenne,Neobisnius lathroboides,Tachyporus obtusus,Staphylinidae larvae,Cartodere bifasciata,Melanopthalma sp.,Cortinicaria gibbosus,Stephostethus lardarius,Lathridiidae,Dienerella,Caenoscelis ferruginea,Atomaria,Cryptophagidae,Leiodidae,Brachypterus urtica,Ceratapion onopordi,Omphalapion hookerorum,Perapion hydrolapathi,Amalorrhynchus melanrius,Trichosirocalus trogladytes,Ceutorhynchus,Gymnetron vernonicae,Drupenatus nasturtii,Neophytobius muricatus,Parathelcus pollinarius,Zacladus exiguus ,Archarius salivorus,Rhynchites longiceps,Coccidula rufa,Propylea 14-punctata,Coccinellidae (l),Adalia bipunctata,Rhagonycha fulva,Meligethes,Nitidulidae,Enallagma cyathigerum,Nabis rugosus,Liocoris tripustulatus,Closterotomus norwegicus,Lygus rugulipennis,Dicyphus,Dicyphus epilobii,Dicyphus pallicornis,Dicyphus stachydis,Dicyphus globulifera,Lopus decolor,Agnocoris reclairei,Orthonotus rufifrons,Orthotylus,Mirini,Miridae,Pinalitus cervinus,Strictopluerus punctatanervosous,Palomena prasina,Piezodorus lituratus(n),Eysarcoris venustissimus,Heterogaster urticae,Scolopostethus,Nysius ericae,Stygnocoris fuliginea,Stygnocoris sabulosus,Lygaeidae,Anthocoris nemorum,Anthocridae ,Orius niger,Orius sp,Hebrus rufipes,Eurygaster testudinaria,Agallia consobrina,Eupterycyba jucunda,Trioza urticae,Macrosteles horvathi ,Cicadellidae,Aphididae,Psyllidae,Hemiptera (unknown),Noctuidae,Gortyna flavago,Hecatera dysodea,Scoopteryx chenopodiata,Idaea biselata,Inachis io,Nymphalidae,Ichneumonidae ,Netelia melanura,Orthopelma mediator,Enicospilus,Evaniidae,Aulacidae,Braconidae,Trichogrammatidae,Chalcidoidae,Eulophidae,Pteromalidae,Cynipoidea,Hymenoptera (unknown),Nemurella pictetii,Agapetus fuscipes,Drusus annulatus,Agraylea multipunctata,Thysanoptera,Lumbricidae,Porcellio scaber,Psocoptera,Isotomidae,Hypogastruridae,Entomobryidae,Sialidae (l),Chrysopidae (l),Napomyza lateralis,Phytoliriomyza dorsata,Phytomyza pullula,Phytomyza sp.,Agromyzidae,Anthomyidae,Asteia amoena,Elachiptera cornuta,Elachiptera megaspis,Meromyza sp.,Oscinella sp.,Thaumatomyia notata,Chloropidae,Culicidae,Anepsiomyia flaviventris,Chrysotus sp.,Symcycnus desoutteri,Drosophilidae,Chelifera precatoria,Clinocera stagnalis,Empis aestiva,Empis albinervis,Kowarzia bipunctata,Setacera,Lonchoptera bifurcata,Lonchoptera lutea,Microphor crassipes,Limnophora,Psychodidae ,Phoridae,Opacifrons coxata,Pseudocollinella humida,Beris vallata,Nemotelus nigrinus,Episyrphus balteatus,Eupeodes corollae,Sphaerophoria scripta,Syritta pipiens,Xanthogramma citrofasciatum,Meigenia sp,Tachinidae,Tipula (Yamatotipula) lateralis,Chironomidae
11,FL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,FR,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
14,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
15,DR,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
16,FR,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
17,FR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
18,FR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
19,FR,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,FR,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
21,DR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
